Pathogen Taxon ID	Pathogen Taxon Name	Pathogen Species Taxon ID	Pathogen Species Name	PubMed IDs
117187	Fusarium verticillioides	117187	Fusarium verticillioides	22247572;18524918
101028	Fusarium pseudograminearum	101028	Fusarium pseudograminearum	15809006
568076	Metarhizium robertsii	568076	Metarhizium robertsii	24742837;22118192
1189617	Xanthomonas axonopodis pv. manihotis str. CFBP1851	53413	Xanthomonas axonopodis	22947214
633	Yersinia pseudotuberculosis	633	Yersinia pseudotuberculosis	24945271
5128	Fusarium sambucinum	5128	Fusarium sambucinum	11876422
1095762	Sclerotinia sclerotiorum WM-A1	5180	Sclerotinia sclerotiorum	23252459
914127	Vibrio vulnificus MO6-24/O	672	Vibrio vulnificus	24769338
162425	Aspergillus nidulans	162425	Aspergillus nidulans	15686555
93591	Lecanicillium fungicola	93591	Lecanicillium fungicola	12892639;20110303
622360	Alternaria brassicicola ATCC 96836	29001	Alternaria brassicicola	23133370
318829	Magnaporthe oryzae	318829	Magnaporthe oryzae	9927411;15749760;17933908;12481998;19454732;19621226;21971181;20680265;15141959;19115483;11952120;22144889;15055545;19958144;21482087;18854221;7549480;19337737;20639448;8755621;11006342;24731804;17641690;22589729;25103193;9707535;21386978;17142568;22241981;15707841;20831406;21533213;21642506;18344407;14507377;11971145;12622815;19008945;8757395;12514128;11090206;17427815;19754836;18595748;15155882;15457264;19923912;11549759;20675574;24859315;23384308;11332731;21043575;18433453;17189344;19958140;21696466;16645096;20192824;19271955;21383978;24731806;15319478;19717456;20887796;17590228;19171198;20472691;20848286;19298860;2016048;11277428;10521529;17115220;20190078;19520179;19556868;17644013;20348434;20023302;8664503;22267486;21115813;20465417;19161355;19837571;21770770;9574508;9390422;19765082;8946911;17506326;16824094;19400837;20615116;21625508;18726099;14667055;19271956;2038305;19390617;8535140;25056242;19260966;18034832;9401122;17378924;16101997;17600089;17416896;15155887;11277427;10521531;19661696;17255942;21276092;10921881;9770551;21283626;9742203;19190403;20435900;21283781;19629489;22346755;18600780;8312740;21901484;12215509;20719251;20121453;25144230;16461639
5180	Sclerotinia sclerotiorum	5180	Sclerotinia sclerotiorum	12971602;23724858;16776301;23581822;22558105
123356	Hyaloperonospora parasitica	123356	Hyaloperonospora parasitica	15894715;15591208
29920	Phytophthora cactorum	29920	Phytophthora cactorum	11262411
738	Haemophilus parasuis	738	Haemophilus parasuis	25078003
290576	Colletotrichum lindemuthianum	290576	Colletotrichum lindemuthianum	11006333;12395188;12694611;17376073;9450334;15615776;15749050
317	Pseudomonas syringae	317	Pseudomonas syringae	23382672
29905	Colletotrichum gloeosporioides f. sp. aeschynomenes	474922	Colletotrichum gloeosporioides	19698103
345073	Vibrio cholerae O395	666	Vibrio cholerae	9044266;2902187;2052603;11371530;9781884;9916119;11489126
665024	Bipolaris maydis ATCC 48331	5016	Bipolaris maydis	16529376
456327	Xanthomonas euvesicatoria	456327	Xanthomonas euvesicatoria	21628629
435258	Leishmania infantum JPCM5	5671	Leishmania infantum	23251490
5599	Alternaria alternata	5599	Alternaria alternata	23527595;23438010;10875335;22835272;22435666;12019223;11386370;23279187;10432635;9885194
13131	Macrosiphum euphorbiae	13131	Macrosiphum euphorbiae	23194342
552	Erwinia amylovora	552	Erwinia amylovora	18705858;21831138;23634775;20565644;23721085;18842089;25172854;14714867;19821727;19236575
660596	Pantoea stewartii subsp. stewartii DC283	66269	Pantoea stewartii	24450773
294750	Cryptococcus gattii R265	552467	Cryptococcus gattii	21249145
697284	Paenibacillus larvae subsp. larvae DSM 25430	1464	Paenibacillus larvae	25044543
686	Vibrio cholerae O1 biovar El Tor	666	Vibrio cholerae	8389476;11854465;12896985
358	Agrobacterium tumefaciens	358	Agrobacterium tumefaciens	23185409
321	Pseudomonas syringae pv. syringae	317	Pseudomonas syringae	12615215;8274770;15000392;16391110;24372508;9204563
306902	Clavispora lusitaniae ATCC 42720	36911	Clavispora lusitaniae	22952924
383379	Toxoplasma gondii RH	5811	Toxoplasma gondii	25032958;23633952
1147754	Salmonella enterica subsp. enterica serovar Enteritidis str. LA5	28901	Salmonella enterica	23144780
5478	Candida glabrata	5478	Candida glabrata	15075283;14622417;12406223;10417386
62688	Blumeria graminis f. sp. hordei	34373	Blumeria graminis	23441578;16905653;12081463
59511	Pseudomonas syringae pv. maculicola	251701	Pseudomonas syringae group genomosp. 3	1477552;17350264;12622811;24372509;11872842
1203463	Xanthomonas citri subsp. citri 306	346	Xanthomonas citri	21453433;22738424
198214	Shigella flexneri 2a str. 301	623	Shigella flexneri	23391153
746128	Aspergillus fumigatus	746128	Aspergillus fumigatus	9620950;11040426;9832321;17542914;22163332;15101984;15322014;19564390;22083709;22106303;22443190;12704156;8736545;12146755;15746357;15052376;15916615;19893627;18599824;10931287;16151250;15504822;16113265;16040966;15271935
439184	Escherichia coli RS218	562	Escherichia coli	25164788
214684	Cryptococcus neoformans var. neoformans JEC21	5207	Cryptococcus neoformans	18347023;20719250;12455985;12455960;24892554
559306	Ustilago maydis FB1	5270	Ustilago maydis	22416226;20153837
1271791	Magnaporthe oryzae KJ201	318829	Magnaporthe oryzae	21237279;17353894;21600998;19252083;19111943;24875422;22194815;23762023;19997500
29001	Alternaria brassicicola	29001	Alternaria brassicicola	17280842;17056706;19737099;19460100;19893627
45151	Pyrenophora tritici-repentis	45151	Pyrenophora tritici-repentis	9061946
